family,lang,ftype,nwords,mtype,date,time_ran(s),tot_epoch,mepoch,nll,accuracy,distance
niger-congo,aka,hall,10000,hall-transformer,06/30/20,3292.0,624.0,612.0,0.6412,100.0,0.0
niger-congo,aka,trn,2793,mono-hmm,06/30/20,225.0,22.0,21.0,0.0002,100.0,0.0
niger-congo,aka,tst,763,mono-hmm,06/30/20,225.0,22.0,21.0,0.0002,100.0,0.0
niger-congo,aka,trn,2793,transformer,06/30/20,3206.0,2857.0,2857.0,0.6406,100.0,0.0
niger-congo,aka,dev,380,mono-hmm,06/30/20,225.0,22.0,21.0,0.0002,100.0,0.0
niger-congo,aka,tst,763,transformer,06/30/20,3206.0,2857.0,2857.0,0.6406,100.0,0.0
niger-congo,aka,dev,380,transformer,06/30/20,3206.0,2857.0,2857.0,0.6406,100.0,0.0
niger-congo,aka,hall,10000,hall-mono-hmm,06/30/20,421.0,16.0,15.0,0.0002,100.0,0.0
germanic,ang,trn,29270,transformer,06/30/20,14410.0,270.0,180.0,0.7804,78.5056,0.3683
germanic,ang,tst,8197,transformer,06/30/20,14410.0,270.0,180.0,0.7804,78.5056,0.3683
germanic,ang,dev,4122,transformer,06/30/20,14410.0,270.0,180.0,0.7804,78.5056,0.3683
germanic,ang,dev,4122,mono-hmm,06/30/20,1664.0,18.0,9.0,0.0375,75.182,0.4833
germanic,ang,tst,8197,mono-hmm,06/30/20,1664.0,18.0,9.0,0.0375,75.182,0.4833
germanic,ang,trn,29270,mono-hmm,06/30/20,1664.0,18.0,9.0,0.0375,75.182,0.4833
germanic,ang,hall,10000,hall-mono-hmm,07/01/20,2399.0,22.0,11.0,0.0421,74.8423,0.5294
germanic,ang,hall,10000,hall-transformer,07/01/20,14564.0,202.0,148.0,0.7812,78.4813,0.3632
oto-manguean,azg,dev,1188,transformer,07/01/20,9554.0,909.0,306.0,0.7772,94.6128,0.1212
oto-manguean,azg,tst,2396,transformer,07/01/20,9554.0,909.0,306.0,0.7772,94.6128,0.1212
oto-manguean,azg,dev,1188,mono-hmm,07/01/20,1054.0,20.0,17.0,0.0204,92.4242,0.2719
oto-manguean,azg,tst,2396,mono-hmm,07/01/20,1054.0,20.0,17.0,0.0204,92.4242,0.2719
oto-manguean,azg,hall,10000,hall-transformer,07/01/20,10530.0,425.0,392.0,0.7828,93.6869,0.1465
oto-manguean,azg,trn,8482,transformer,07/01/20,9554.0,909.0,306.0,0.7772,94.6128,0.1212
oto-manguean,azg,trn,8482,mono-hmm,07/01/20,1054.0,20.0,17.0,0.0204,92.4242,0.2719
oto-manguean,azg,hall,10000,hall-mono-hmm,07/01/20,1317.0,17.0,14.0,0.0187,92.8451,0.1608
austronesian,ceb,tst,111,transformer,07/01/20,1680.0,9999.0,9000.0,0.8097,82.7586,0.569
austronesian,ceb,trn,420,transformer,07/01/20,1680.0,9999.0,9000.0,0.8097,82.7586,0.569
austronesian,ceb,tst,111,mono-hmm,07/01/20,36.0,18.0,13.0,0.0963,81.0345,0.5
austronesian,ceb,hall,10000,hall-mono-hmm,07/01/20,163.0,11.0,1.0,0.1166,84.4828,0.5172
austronesian,ceb,trn,420,mono-hmm,07/01/20,36.0,18.0,13.0,0.0963,81.0345,0.5
austronesian,ceb,dev,58,mono-hmm,07/01/20,36.0,18.0,13.0,0.0963,81.0345,0.5
austronesian,ceb,dev,58,transformer,07/01/20,1680.0,9999.0,9000.0,0.8097,82.7586,0.569
austronesian,ceb,hall,10000,hall-transformer,07/01/20,2141.0,740.0,714.0,0.7944,86.2069,0.5862
oto-manguean,cly,tst,944,transformer,07/01/20,3380.0,2222.0,1496.0,0.7105,91.0828,0.1444
oto-manguean,cly,hall,10000,hall-mono-hmm,07/01/20,494.0,20.0,18.0,0.0591,82.3779,0.3482
oto-manguean,cly,dev,471,transformer,07/01/20,3380.0,2222.0,1496.0,0.7105,91.0828,0.1444
oto-manguean,cly,dev,471,mono-hmm,07/01/20,256.0,21.0,20.0,0.0637,77.9193,0.4076
oto-manguean,cly,tst,944,mono-hmm,07/01/20,256.0,21.0,20.0,0.0637,77.9193,0.4076
oto-manguean,cly,hall,10000,hall-transformer,07/01/20,3445.0,588.0,319.0,0.725,88.3227,0.2081
oto-manguean,cly,trn,3301,mono-hmm,07/01/20,256.0,21.0,20.0,0.0637,77.9193,0.4076
oto-manguean,cly,trn,3301,transformer,07/01/20,3380.0,2222.0,1496.0,0.7105,91.0828,0.1444
oto-manguean,cpa,trn,5298,mono-hmm,07/01/20,458.0,27.0,25.0,0.0293,85.9697,0.2187
oto-manguean,cpa,tst,1431,transformer,07/01/20,4213.0,1428.0,700.0,0.7304,90.2338,0.1651
oto-manguean,cpa,dev,727,mono-hmm,07/01/20,458.0,27.0,25.0,0.0293,85.9697,0.2187
oto-manguean,cpa,hall,10000,hall-mono-hmm,07/01/20,638.0,20.0,17.0,0.034,84.044,0.2393
oto-manguean,cpa,tst,1431,mono-hmm,07/01/20,458.0,27.0,25.0,0.0293,85.9697,0.2187
